Title,Date,Company
submit cv s latest recruitment at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
submit cv s new recruitment at comways foundation,02/27/2023,comways foundation
submit cv s latest recruitment at unicef,02/27/2023,unicef
vice chancellor 1 post at pwani university,02/28/2023,pwani university
deputy vice chancellor administration plannings and finance 1 position at kisii university,02/28/2023,kisii university
vice chancellor 1 position at kisii university,02/28/2023,kisii university
lead channel sales rep at honeywell,02/28/2023,honeywell
supervisor at smollan,02/28/2023,smollan
operations support manager africa at practical action kenya,02/28/2023,practical action kenya
rhino programme officer at world wide fund for nature wwf kenya,02/28/2023,world wide fund for nature wwf kenya
training coordinator health system management development at amref international university amiu ,02/28/2023,amref international university amiu 
lecturer health systems management and development at amref international university amiu ,02/28/2023,amref international university amiu 
carbon financial analyst at burn manufacturing,02/28/2023,burn manufacturing
finance intern at british american tobacco bat ,02/28/2023,british american tobacco bat 
head of health sector at equity bank kenya,02/28/2023,equity bank kenya
chief division of conference services d1 at united nations office at nairobi unon ,02/28/2023,united nations office at nairobi unon 
fixed income trader at kingdom bank limited,02/28/2023,kingdom bank limited
human resource intern at amref kenya,02/28/2023,amref kenya
africa freshwater protection specialist at nature conservancy,02/28/2023,nature conservancy
deputy vice chancellor planning finance and administration at karatina university,02/28/2023,karatina university
deputy vice chancellor academic research and student affairs at karatina university,02/28/2023,karatina university
vice chancellor at karatina university,02/28/2023,karatina university
acess to finance officer transform project at heifer international,02/28/2023,heifer international
sales executive reale estate land sale at fanisi hr solutions,02/28/2023,fanisi hr solutions
submit cv s latest recruitment at trans nzoia county public service board,02/27/2023,trans nzoia county public service board
submit cv s new recruitment at oasis healthcare,02/27/2023,oasis healthcare
head of car sales at cars45,02/25/2023,cars45
submit cv s new recruitment at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive nyeri at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive meru at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive laikipia at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive nyandarua at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive nakuru at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive narok at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive bomet at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
marketing executive kericho at mediheal group of hospitals,02/28/2023,mediheal group of hospitals
accountant lodges at frank management consult ltd,02/28/2023,frank management consult ltd
internal motor assessor at hcs africa,02/28/2023,hcs africa
managing director ceo at geothermal development company gdc ,02/28/2023,geothermal development company gdc 
wv somalia program development and quality assurance director at world vision kenya,02/28/2023,world vision kenya
administrative officer at unicef,02/28/2023,unicef
team leader at ihuman resource consulting ltd ihr ,02/28/2023,ihuman resource consulting ltd ihr 
broker support at cigna,02/28/2023,cigna
fundraising manager at book bunk,02/28/2023,book bunk
assistant accountant international at action aid,02/28/2023,action aid
head of academics at aga khan education service kenya akesk ,02/28/2023,aga khan education service kenya akesk 
hr manager hospitality at corporate staffing,02/28/2023,corporate staffing
tailor at corporate staffing,02/28/2023,corporate staffing
submit cv s new recruitment at juja road hospital,02/24/2023,juja road hospital
submit cv s latest recruitment at kca university kcau ,02/23/2023,kca university kcau 
submit cv s new recruitment at flexi personnel ltd,02/23/2023,flexi personnel
head of capability and development at wasoko,02/28/2023,wasoko
housekeeping supervisor at fairmont hotels resorts,02/28/2023,fairmont hotels resorts
senior resettlement assistant dadaab at united nations high commissioner for refugees unhcr ,02/28/2023,united nations high commissioner for refugees unhcr 
senior programme associate at united nations high commissioner for refugees unhcr ,02/28/2023,united nations high commissioner for refugees unhcr 
business manager at swift hands africa,02/28/2023,swift hands africa
assistant finance officer dadaab at united nations high commissioner for refugees unhcr ,02/28/2023,united nations high commissioner for refugees unhcr 
resettlement assistant at united nations high commissioner for refugees unhcr ,02/28/2023,united nations high commissioner for refugees unhcr 
project control associate kakuma at united nations high commissioner for refugees unhcr ,02/28/2023,united nations high commissioner for refugees unhcr 
purchase associate coordinator mmd administration at aga khan university hospital,02/28/2023,aga khan university hospital
laboratory technologist outreach clinic nyahururu at aga khan university hospital,02/28/2023,aga khan university hospital
medical officer outreach clinic nyahururu at aga khan university hospital,02/28/2023,aga khan university hospital
submit cv s latest recruitment at engineers board of kenya,02/28/2023,engineers board of kenya
principal accountant at engineers board of kenya,02/28/2023,engineers board of kenya
director corporate services at engineers board of kenya,02/28/2023,engineers board of kenya
manager corporate communications at engineers board of kenya,02/28/2023,engineers board of kenya
manager capacity building accreditation at engineers board of kenya,02/28/2023,engineers board of kenya
manager compliance and enforcement at engineers board of kenya,02/28/2023,engineers board of kenya
principal capacity building officer internship at engineers board of kenya,02/28/2023,engineers board of kenya
principal auditor at engineers board of kenya,02/28/2023,engineers board of kenya
principal planning officer at engineers board of kenya,02/28/2023,engineers board of kenya
senior records management officer at engineers board of kenya,02/28/2023,engineers board of kenya
submit cv s new recruitment at palladium international,02/23/2023,palladium international
submit cv s latest recruitment at path,02/22/2023,path
submit cv s new recruitment at genesis analytics,02/22/2023,genesis analytics
principal supply chain management officer at engineers board of kenya,02/28/2023,engineers board of kenya
regional change management officer business transformation p3 at international organization for migration iom ,02/28/2023,international organization for migration iom 
cicc sales and marketing officer at bible translation and literacy,02/28/2023,bible translation and literacy
office assistants pre school assistant grade kpa 10 at kenya ports authority,02/28/2023,kenya ports authority
pre school teachers grade kpa 9 at kenya ports authority,02/28/2023,kenya ports authority
technical manager at tavevo water and sewerage company limited,02/28/2023,tavevo water and sewerage company limited
business manager at swift hands africa,02/28/2023,swift hands africa
pharmacy technician at medecins sans frontieres msf ,02/28/2023,medecins sans frontieres msf 
hp supervisor at medecins sans frontieres msf ,02/28/2023,medecins sans frontieres msf 
purchase to pay specialist at dhl,02/28/2023,dhl
party chief at millennium water alliance,02/28/2023,millennium water alliance
senior manager big data cvm at safaricom kenya,02/28/2023,safaricom kenya
sales team lead kitui at sunculture kenya ltd,02/28/2023,sunculture kenya ltd
sales team lead embu at sunculture kenya ltd,02/28/2023,sunculture kenya ltd
service center associate matunda at sunculture kenya ltd,02/28/2023,sunculture kenya ltd
aml compliance specialist at ncba group,02/28/2023,ncba group
senior bank officer business development and marketing at development bank of kenya,02/28/2023,development bank of kenya
submit cv s new recruitment at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior office administrator at national environment management authority nema ,02/28/2023,national environment management authority nema 
principal information communication technology officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
principal supply chain management officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
submit cv s new recruitment at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
submit cv s latest recruitment at flexi personnel,02/21/2023,flexi personnel
submit cv s new recruitment at monarch boutique hotel,02/21/2023,monarch boutique hotel
principal environment officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal information communication technology officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal corporate communication officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal accountant at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal environmental compliance officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal environmental research officer at national environment management authority nema ,02/28/2023,national environment management authority nema 
senior principal internal audit at national environment management authority nema ,02/28/2023,national environment management authority nema 
deputy director internal audit at national environment management authority nema ,02/28/2023,national environment management authority nema the national environment management authority nema is established under the environmental management and co ordination act no 8 of 1999 emca as the principlal instrument of goverment for the implementation of all policies relating to environment emca 1999 was enacted against a backdrop of 78 sectoral laws dealing with various components of the environment the deteriorating state of kenya s environment as well as increasing social and economic inequalities the combined effect of which negatively impacted on the environment the supreme objective underlying the enactment of emca 1999 was to bring harmony in the management of the country s environment 
deputy director ecosystems management at national environment management authority nema ,02/28/2023,national environment management authority nema 
deputy director environmental education awareness at national environment management authority nema ,02/28/2023,national environment management authority nema 
cs director legal services at national environment management authority nema ,02/28/2023,national environment management authority nema 
labourer ii 2700 positions at nairobi county,02/27/2023,nairobi county
labourer i 300 positions at nairobi county,02/27/2023,nairobi county
clerical officer ii 37 positions at nairobi county,02/27/2023,nairobi county
chief environment officer 12 positions at nairobi county,02/27/2023,nairobi county
environmental officer 85 positions at nairobi county,02/27/2023,nairobi county
inspection manager at crown agents ltd,02/27/2023,crown agents ltd
junior architect at west kenya real estate ltd,02/27/2023,west kenya real estate ltd
finance and office assistant at amnesty international,02/27/2023,amnesty international
advocacy manager ieh at christian blind mission cbm ,02/27/2023,christian blind mission cbm 
regional ntd programme manager at christian blind mission cbm ,02/27/2023,christian blind mission cbm 
submit cv s new recruitment at gap recruitment services limited,02/20/2023,gap recruitment services limited
automotive price analyst at cars45,02/20/2023,cars45
submit cv s latest recruitment at jomo kenyatta university of agriculture technology,02/20/2023,jomo kenyatta university of agriculture technology
humanitarian inclusion advisor at christian blind mission cbm ,02/27/2023,christian blind mission cbm 
dentist taita taveta at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
community oral health officer taita taveta at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
nurse taita taveta at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
laboratory technologist taita taveta at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
pharmaceutical technologist taita taveta at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
community oral health officer nkubu at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
pharmaceutical technologist athi river at equity afia medical centre kiserian,02/27/2023,equity afia medical centre kiserian
digital marketer at stedmak gardens and recreational centre,02/27/2023,stedmak gardens and recreational centre
sales executive at lipa later limited,02/27/2023,lipa later limited
trade development representative at hcs africa,02/27/2023,hcs africa
manager compliance and anti money laundering at absa bank limited,02/27/2023,absa bank limited
senior business intelligence bi developer at ncba group,02/27/2023,ncba group
head of business development at ncba group,02/27/2023,ncba group
data engineer at ncba group,02/27/2023,ncba group
senior core banking t24 developer at ncba group,02/27/2023,ncba group
business intelligence bi developer at ncba group,02/27/2023,ncba group
social studies teacher at makini high school,02/27/2023,makini high school
intern sustainable finance i at un habitat,02/27/2023,un habitat
submit cv s new recruitment at nairobi city county public service board,02/20/2023,nairobi city county public service board
submit cv s latest recruitment at plan international,02/17/2023,plan international
submit cv s latest recruitment at sbm bank,02/16/2023,sbm bank
intern human resources assistant i at united nations office at nairobi unon ,02/27/2023,united nations office at nairobi unon 
terms of reference for consultancy to develop an east africa online learning platform at kenya community development foundation,02/27/2023,kenya community development foundation
pp 1 pp2 apprentice teachers maternity covers at nova pioneer,02/27/2023,nova pioneer
grade 1 resident maternity cover teacher at nova pioneer,02/27/2023,nova pioneer
group data protection officer at koko networks,02/27/2023,koko networks
financial reporting accounts assistant ebkl at equity bank kenya,02/27/2023,equity bank kenya
